Teu,Delivery_Date,Deadweight,Shipbuilder,Group_Beneficial_Owner,Operator,LR_IMO_Ship_No,Speed,Newbuild_Price_USD,Ship_Name,Beam,Delivery Year,Size Group,age
1879,1985-10-31,31290,HDW AG - Kiel - GFR,MSC MEDITERRANEAN SHIPPING CO,MSC MEDITERRANEAN SHIPPING CO,8413887,17,26782897,MSC Lucia,28.43000031,1985,1800 - 2399 TEU,30.52429843
860,1985-11-15,14910,Shin Yamamoto Shipbuilding,TRANSWORLD GROUP,ORIENT EXPRESS LINES INC,8510362,17,,Oel Freedom,24.01000023,1985,0 - 899 TEU,30.48323066
3044,1986-01-31,44552,Hitachi Zosen - Innoshima,MSC MEDITERRANEAN SHIPPING CO,MSC MEDITERRANEAN SHIPPING CO,8419702,20.5,,MSC Noa,32.29000092,1986,2900 - 3999 TEU,30.27174777
1317,1986-05-20,19704,Schlichting-Werft,MSC MEDITERRANEAN SHIPPING CO,MSC MEDITERRANEAN SHIPPING CO,8502717,18,,MSC Jilhan,25.22999954,1986,1200 - 1599 TEU,29.97332862
1879,1986-05-27,31205,HDW AG - Kiel - GFR,MSC MEDITERRANEAN SHIPPING CO,MSC MEDITERRANEAN SHIPPING CO,8512891,16,27047301,MSC Augusta,28.43000031,1986,1800 - 2399 TEU,29.95416409
1879,1986-07-30,30950,HDW AG - Kiel - GFR,MSC MEDITERRANEAN SHIPPING CO,MSC MEDITERRANEAN SHIPPING CO,8512906,17,27047301,MSC Adele,28.43000031,1986,1800 - 2399 TEU,29.77894551
200,1986-10-01,2000,Miura Saiki,,SUN RISING SHIPMANAGEMENT CO,8630241,10,,Shun Da,13.02000046,1986,0 - 899 TEU,29.60646472
1879,1986-12-16,31205,HDW AG - Kiel - GFR,MSC MEDITERRANEAN SHIPPING CO,MSC MEDITERRANEAN SHIPPING CO,8521397,17,26614374,MSC Floriana,28.43000031,1986,1800 - 2399 TEU,29.39839265
1879,1987-03-10,31205,HDW AG - Kiel - GFR,MSC MEDITERRANEAN SHIPPING CO,MSC MEDITERRANEAN SHIPPING CO,8521402,16,,MSC Annamaria,28.45000076,1987,1800 - 2399 TEU,29.16773134
640,1987-03-15,14263,Naikai Shipbuilding - Setoda,WAN HAI LINES LTD,WAN HAI LINES LTD,8611790,18.75,,Shin Chun,23.53000069,1987,0 - 899 TEU,29.15404271
