Teu,Delivery_Date,Deadweight,Shipbuilder,Group_Beneficial_Owner,Operator,LR_IMO_Ship_No,Speed,Newbuild_Price_USD,Ship_Name,Beam,Delivery Year,Size Group,age
6655,2008-01-24,80855,Hyundai Heavy Inds - Ulsan,HANJIN SHIPPING HOLDINGS CO,HANJIN SHIPPING CO LTD,9347437,26.5,94500000,Hanjin Shenzhen,40,2008,5400+ TEU,8.291058394
1706,2008-01-25,24090,Aker Warnemuende Operations,KONIG & CIE GMBH & CO KG,INTERUNITY MANAGEMENT CORP SA,9357793,19.5,35941800,King Brian,25.20000076,2008,1600 - 1799 TEU,8.288321168
4319,2008-01-25,53870,Hyundai Mipo Dockyard Co Ltd,NORDDEUTSCHE VERMOGEN HOLDING,HAMBURG SUD,9344708,23.89999962,64000000,Northern General,32.20000076,2008,4000 - 5399 TEU,8.288321168
907,2008-01-27,12985,Shin Kochi,PACIFIC INTERNATIONAL LINES,PACIFIC INTERNATIONAL LINES,9359674,17.10000038,,Forum Pacific,22.60000038,2008,900 - 1199 TEU,8.282846715
6350,2008-01-28,72912,Koyo Dockyard Co Ltd,SHOEI KISEN KAISHA LTD,MITSUI OSK LINES LTD,9444261,25,,MOL Premium,40,2008,5400+ TEU,8.280109489
698,2008-01-29,8210,Fujian Mawei Shipbuilding Ltd,BERND DREWITZ VERWALTUNGS,VROON BV,9339090,16.5,,Max Prince,20.60000038,2008,0 - 899 TEU,8.277372263
1118,2008-01-29,13749,Qingshan Shipyard,VROON BV,VROON BV,9330862,19.60000038,19000000,Yangtze River,23.45000076,2008,900 - 1199 TEU,8.277372263
15550,2008-01-29,158200,Odense Staalskibs - Lindo,MOLLER-MAERSK A/S,MAERSK LINE A/S,9321550,26,88655220,Eugen Maersk,56.40000153,2008,5400+ TEU,8.277372263
1118,2008-01-30,13632,Taizhou Kouan Shipbuilding Co,SAMUDERA INDONESIA TBK PT,SAMUDERA SHIPPING LINE LTD,9397107,19.60000038,19000000,Sinar Bima,23.45000076,2008,900 - 1199 TEU,8.274635036
5762,2008-01-30,73355,Samsung Heavy Inds - Geoje,MSC MEDITERRANEAN SHIPPING CO,MSC MEDITERRANEAN SHIPPING CO,9369758,24.79999924,90000000,MSC Fiammetta,40,2008,5400+ TEU,8.274635036
8628,2008-01-30,99563,IHI Marine United - Kure,NYK LINE,NYK LINE,9312987,24.5,,Nyk Olympus,45.79999924,2008,5400+ TEU,8.274635036
1108,2008-01-31,13852,Jiangsu Eastern Heavy Industry,REGIONAL CONTAINER LINES,RCL SHIPMANAGEMENT PTE LTD,9365685,19.29999924,24500000,Nawata Bhum,23.25,2008,900 - 1199 TEU,8.27189781
3091,2008-01-31,42213,Szczecinska Nowa Stocznia,PETER DOEHLE SCHIFFAHRTS-KG,PETER DOEHLE SCHIFFAHRTS-KG,9334375,22.5,,Hebe,32.31000137,2008,2900 - 3999 TEU,8.27189781
6696,2008-01-31,84835,Hanjin HI & Const - Busan,MOLLER AP,MAERSK LINE A/S,9333022,25,,Maersk Kinloss,40.02999878,2008,5400+ TEU,8.27189781
831,2008-02-01,12597,Kyokuyo Shipyard Corp,SINOTRANS,SINOTRANS SHIP MANAGEMENT LTD,9367920,18,,Sinotrans Beijing,22.39999962,2008,0 - 899 TEU,8.269160584
1284,2008-02-01,18298,Zhejiang Ouhua Shipbuilding Co,AHRENKIEL STEAMSHIP GMBH & CO,THIEN & HEYENGA BEREEDERUNGS,9395135,19,,Stadt Gotha,25,2008,1200 - 1599 TEU,8.269160584
2007,2008-02-01,27155,Zhejiang Shbldg - Ningbo,NAVIOS MARITIME HOLDINGS INC,NAVIOS EUROPE INC,9339868,20.79999924,,Esperanza N,28.5,2008,1800 - 2399 TEU,8.269160584
606,2008-02-04,8150,Penglai Bohai Shipyard Co Ltd,PACIFIC INTERNATIONAL LINES,PACIFIC INTERNATIONAL LINES,9408449,14,12000000,Kota Dahlia,21.04000092,2008,0 - 899 TEU,8.260948905
698,2008-02-04,8168,Fujian Mawei Shipbuilding Ltd,SCHULTE GROUP,OLDENBURG-PORTUGIESISCHE,9389306,16.5,,Opdr Tanger,20.89999962,2008,0 - 899 TEU,8.260948905
2554,2008-02-04,34438,Jiangsu Yangzijiang Shbldg Co,PETER DOEHLE SCHIFFAHRTS-KG,EVERGREEN MARINE CORP,9339595,22,39000000,Artemis,29.79999924,2008,2400 - 2699 TEU,8.260948905
3534,2008-02-04,42019,Shanghai Shipyard Co Ltd,NORDDEUTSCHE VERMOGEN HOLDING,NORDDEUTSCHE REEDEREI SCHULDT,9345984,22.20000076,50000000,Northern Dependant,32.20000076,2008,2900 - 3999 TEU,8.260948905
2546,2008-02-05,34330,Jiangsu Yangzijiang Shbldg Co,SCHEPERS GMBH,WESTWOOD SHIPPING LINES INC,9376141,22,41000000,Johannes-S,29.79999924,2008,2400 - 2699 TEU,8.258211679
4578,2008-02-05,50610,Samsung Heavy Inds - Geoje,ORIENT OVERSEAS INTERNATIONAL,ORIENT OVERSEAS CONTAINER LINE,9329552,24.5,57500000,Samsung 1599,32.25,2008,4000 - 5399 TEU,8.258211679
4870,2008-02-12,63352,Daewoo-Mangalia,NSB NIEDERELBE SCHIFFAHRTSGES,MSC MEDITERRANEAN SHIPPING CO,9349801,24,,Conti Cordoba,32.29999924,2008,4000 - 5399 TEU,8.239051095
2824,2008-02-14,39479,Hyundai Mipo Dockyard Co Ltd,MOLLER AP,MAERSK LINE A/S,9343077,23,48000000,Maersk Jabal,30,2008,2700 - 2899 TEU,8.233576642
908,2008-02-15,12550,Nanjing Wujiazui Shipbuilding,GREATHORSE GROUP,CHINA SHIPPING CONTAINER LINES,9383510,17.89999962,,CSCL Tokyo,22.46999931,2008,900 - 1199 TEU,8.230839416
1819,2008-02-15,28196,Hyundai Mipo Dockyard Co Ltd,BOREALIS MARITIME LTD,CMA CGM SA THE FRENCH LINE,9347267,21,39300000,San Antonio,27.60000038,2008,1800 - 2399 TEU,8.230839416
8560,2008-02-15,90409,Mitsubishi Nagasaki,BOURBON SA,MITSUI OSK LINES LTD,9321251,25.25,95000000,MOL Celebration,45.59999847,2008,5400+ TEU,8.230839416
8566,2008-02-15,99052,Hyundai Heavy Inds - Ulsan,KOREA SHIP FINANCE CO LTD,HYUNDAI MERCHANT MARINE CO LTD,9347542,27.5,130000000,Hyundai Courage,45.63999939,2008,5400+ TEU,8.230839416
2702,2008-02-18,38092,HDW-Gaarden GmbH,GEBAB KONZEPTIONS-UND,EVERGREEN MARINE CORP,9377145,21.85000038,,Buxmelody,29.79999924,2008,2700 - 2899 TEU,8.222627737
9034,2008-02-18,122405,Samsung Heavy Inds - Geoje,MOLLER AP,MAERSK LINE A/S,9342516,25.5,139400000,Maersk Alfirk,45.63000107,2008,5400+ TEU,8.222627737
1698,2008-02-19,24092,Aker Warnemuende Operations,KONIG & CIE GMBH & CO KG,CMA CGM SA THE FRENCH LINE,9357808,19.5,35941800,King Basil,25.20000076,2008,1600 - 1799 TEU,8.219890511
6921,2008-02-19,85614,Hyundai Heavy Inds - Ulsan,UNITED ARAB SHIPPING CO,UNITED ARAB SHIPPING CO,9349502,25,105675000,Al Kharj,40.05199814,2008,5400+ TEU,8.219890511
8379,2008-02-19,107978,Hyundai Heavy Inds - Ulsan,MOLLER-MAERSK A/S,MAERSK LINE A/S,9352004,25,,Maersk Stepnica,42.79999924,2008,5400+ TEU,8.219890511
5085,2008-02-21,68618,Hanjin HI & Const - Busan,NSC HOLDING GMBH & CIE KG,NSC SCHIFFFAHRTSGESELLSCHAFT,9348675,24.39999962,77000000,Memphis,32.20000076,2008,4000 - 5399 TEU,8.214416058
1740,2008-02-22,23252,Guangzhou Wenchong Shipyard Co,SCHULTE GROUP,HAPAG-LLOYD AG,9435674,20.60000038,32000000,Louisa Schulte,27.39999962,2008,1600 - 1799 TEU,8.211678832
2483,2008-02-22,33406,Naikai Zosen Corp - Innoshima,SANTOKU SENPAKU CO LTD,PACIFIC INTERNATIONAL LINES,9363405,22.20000076,,Kota Puri,32.20000076,2008,2400 - 2699 TEU,8.211678832
2846,2008-02-22,34578,STX Shipbuilding - Jinhae,NYK LINE,NYK LINE,9355408,23,53000000,Nyk Clara,30.10000038,2008,2700 - 2899 TEU,8.211678832
1022,2008-02-25,13931,Jiangsu Eastern Heavy Industry,REGIONAL CONTAINER LINES,RCL SHIPMANAGEMENT PTE LTD,9338321,19.60000038,,Panja Bhum,23.25,2008,900 - 1199 TEU,8.203467153
1102,2008-02-25,12469,Murakami Hide,KOTOKU KAIUN CO LTD,KOTOKU KAIUN CO LTD,9403853,19,,Hyperion,23.04000092,2008,900 - 1199 TEU,8.203467153
2478,2008-02-26,35119,Volkswerft Stralsund GmbH,MOLLER AP,SAFMARINE CONTAINER LINES,9356074,21.5,57509918,Safmarine Ngami,29.87999916,2008,2400 - 2699 TEU,8.200729927
1022,2008-02-27,12244,Anadolu Tuzla,VROON BV,VROON BV,9356658,18,,Max Venture,22.60000038,2008,900 - 1199 TEU,8.197992701
1440,2008-02-27,20358,Peene-Werft GmbH,SCHOELLER HOLDINGS LTD,COLUMBIA SHIPMANAGEMENT LTD,9379363,19.79999924,,Cape Fawley,25,2008,1200 - 1599 TEU,8.197992701
3194,2008-02-27,43097,Hanjin HI & Const - Busan,MOLLER AP,MAERSK LINE A/S,9355288,22,72860000,Maersk Bintan,32.20000076,2008,2900 - 3999 TEU,8.197992701
752,2008-02-28,9907,Zhejiang Zhenxing Shiprepair,CONTSHIPS MANAGEMENT INC,MSC MEDITERRANEAN SHIPPING CO,9492751,14.5,,Contship Eco,20.82999992,2008,0 - 899 TEU,8.195255474
868,2008-02-28,11254,Sietas Kg,MOJE H,WEC LINES BV,9376024,18.5,,Mistral,22.5,2008,0 - 899 TEU,8.195255474
1049,2008-02-28,12782,Dae Sun Shipbuilding & Eng,THODE GMBH & CO KG,THODE REEDEREIGESELLSCHAFT MBH,9363962,18,,Hanse Energy,22.60000038,2008,900 - 1199 TEU,8.195255474
1118,2008-02-28,13809,Qingshan Shipyard,PINE VALLEY KONTOR SHPG LTD,APL LTD,9395604,19.60000038,,Pine Valley Kontor,23.45000076,2008,900 - 1199 TEU,8.195255474
5095,2008-02-28,65800,Hyundai Heavy Inds - Ulsan,CMA CGM HOLDING & CO SAS,CMA CGM SA THE FRENCH LINE,9348704,23.5,81000000,Hyundai 1826,32.20000076,2008,4000 - 5399 TEU,8.195255474
6655,2008-02-28,80855,Hyundai Heavy Inds - Ulsan,HANJIN SHIPPING HOLDINGS CO,HANJIN SHIPPING CO LTD,9347449,26.5,94500000,Hanjin Chongqing,40,2008,5400+ TEU,8.195255474
8566,2008-02-28,98967,Hyundai Samho Heavy Industries,KOREA SHIP FINANCE CO LTD,HYUNDAI MERCHANT MARINE CO LTD,9347554,27.5,130000000,Hyundai Faith,45.59999847,2008,5400+ TEU,8.195255474
698,2008-03-02,8214,Sainty Shipbuilding Yangzhou,BOCKSTIEGEL REEDEREI GMBH & CO,MARIANA EXPRESS LINES LTD,9428217,16,10000000,Ice Moon,20.60000038,2008,0 - 899 TEU,8.187043796
1267,2008-03-03,18091,Barreras,BOLUDA CORPORACION MARITIMA,BOLUDA LINES SA,9348637,18,,Beatriz B,24.80999947,2008,1200 - 1599 TEU,8.184306569
251,2008-03-04,1820,Koike,IMOTO LINES LTD,IMOTO SHOUN,8738134,14.5,,Maiko,14,2008,0 - 899 TEU,8.181569343
8112,2008-03-04,107266,Daewoo Shipbuilding & Marine,MOLLER AP,MAERSK LINE A/S,9334674,24.79999924,108507000,Maersk Taurus,43.29999924,2008,5400+ TEU,8.181569343
1350,2008-03-05,17350,Jiangsu Yangzijiang Shbldg Co,HANSA TREUHAND GMBH & CO KG,HAMBURG SUDAMERIKANISCHE,9368742,19.29999924,33000000,Hs Liszt,25,2008,1200 - 1599 TEU,8.178832117
908,2008-03-06,13177,Linhai Hangchang Shipbuilding,SHIN YANG SDN BHD,SHIN YANG SHIPPING SDN BHD,9477268,14,,Danum 160,21,2008,900 - 1199 TEU,8.176094891
4250,2008-03-07,52000,Dalian Shipbuilding Ind - No 1,CMA CGM HOLDING & CO SAS,ANL CONTAINER LINE PTY LTD,9334155,24.5,52370000,Anl Wyong,32.29999924,2008,4000 - 5399 TEU,8.173357664
1118,2008-03-10,13720,Yangzhou Dayang Shipbuilding,HARTMANN SCHIFFAHRTS GMBH & CO,CMA CGM SA THE FRENCH LINE,9435521,19.60000038,22200000,Frisia Inn,23.45000076,2008,900 - 1199 TEU,8.165145985
1810,2008-03-10,26000,Dalian Shipbuilding Ind - No 1,PACIFIC SHIPPING TRUST,PACIFIC INTERNATIONAL LINES,9356830,20.20000076,38000000,Kota Nabil,27.64999962,2008,1800 - 2399 TEU,8.165145985
3534,2008-03-10,42056,Shanghai Shipyard Co Ltd,LOMAR CORP LTD,LOMAR SHIPPING LTD,9436422,22.20000076,52200000,Cartagena Trader,32.2879982,2008,2900 - 3999 TEU,8.165145985
1819,2008-03-12,28147,Hyundai Mipo Dockyard Co Ltd,BOREALIS MARITIME LTD,HAMBURG SUDAMERIKANISCHE,9347279,21,39300000,San Adriano,27.60000038,2008,1800 - 2399 TEU,8.159671533
2872,2008-03-12,35534,Yangfan Group Co Ltd,NSC HOLDING GMBH & CIE KG,CMA CGM SA THE FRENCH LINE,9399753,22.20000076,,Hammonia Antofagasta,30.5,2008,2700 - 2899 TEU,8.159671533
1849,2008-03-13,26811,Sedef Tuzla,,TURKON KONTEYNER TASIMACILIK,9365829,19.5,,Mukaddes Kalkavan,28,2008,1800 - 2399 TEU,8.156934307
2015,2008-03-13,27130,Zhejiang Shbldg - Ningbo,O MARTEN REEDEREI GMBH & CO KG,SEA CONSORTIUM PTE LTD,9339856,20.79999924,,O. M. Agarum,28.5,2008,1800 - 2399 TEU,8.156934307
2127,2008-03-13,30580,Aker MTW Werft GmbH,LOMAR CORP LTD,LOMAR DEUTSCHLAND GMBH,9357121,21.60000038,48000000,Louisiana Trader,28,2008,1800 - 2399 TEU,8.156934307
9040,2008-03-13,99563,IHI Marine United - Kure,NYK LINE,NYK LINE,9312999,24.5,,Nyk Orion,45.79999924,2008,5400+ TEU,8.156934307
10060,2008-03-13,109950,Hyundai Heavy Inds - Ulsan,COSCO,COSCON,9345427,24.79999924,127000000,Cosco America,45.65000153,2008,5400+ TEU,8.156934307
966,2008-03-14,11775,Yangfan Group Co Ltd,REEDEREI RASS GMBH & CO KG,CMA CGM SA THE FRENCH LINE,9435820,18.79999924,,Hohefels,22.60000038,2008,900 - 1199 TEU,8.15419708
974,2008-03-17,11051,Hegemann Berne,BOLTEN A,BG FREIGHT LINE BV,9369007,18.10000038,25200000,Iris Bolten,22.20000076,2008,900 - 1199 TEU,8.145985401
1819,2008-03-17,28170,Hyundai Mipo Dockyard Co Ltd,BOREALIS MARITIME LTD,APL LTD,9347281,21,39300000,San Aurelio,27.60000038,2008,1800 - 2399 TEU,8.145985401
706,2008-03-18,8279,Yangfan Group Co Ltd,CONTSHIPS MANAGEMENT INC,PACIFIC & ATLANTIC SHIPMANAGER,9385453,17,15500000,Contship Box,19.20000076,2008,0 - 899 TEU,8.143248175
1805,2008-03-18,22171,CSBC Corp Taiwan - Keelung,DOUN KISEN KK,HANJIN SHIPPING CO LTD,9350159,19.60000038,,Hanjin Ho Chi Minh,27.29999924,2008,1800 - 2399 TEU,8.143248175
2714,2008-03-18,39000,Gdansk Stocznia SA,SEA CONSORTIUM PTE LTD,SEA CONSORTIUM PTE LTD,9327683,22.5,,X-Press Makalu,32.25,2008,2700 - 2899 TEU,8.143248175
9038,2008-03-18,115993,Odense Staalskibs - Lindo,MOLLER-MAERSK A/S,MAERSK LINE A/S,9359002,25,,Gerner Maersk,42.93999863,2008,5400+ TEU,8.143248175
4275,2008-03-19,51648,Samsung Heavy Inds - Geoje,HANJIN SHIPPING HOLDINGS CO,HANJIN SHIPPING CO LTD,9375305,23.5,63600000,Hanjin Rio De Janeiro,32.50999832,2008,4000 - 5399 TEU,8.140510949
6350,2008-03-19,72912,Koyo Dockyard Co Ltd,GRACE OCEAN INVESTMENT LTD,MITSUI OSK LINES LTD,9444273,25,,Koyo 2230,40,2008,5400+ TEU,8.140510949
1118,2008-03-20,13760,Jinling Shipyard,CHINA GOVT,SHANGHAI JINJIANG SHPG GROUP,9406831,19.60000038,,Jj Sun,23.25,2008,900 - 1199 TEU,8.137773723
6415,2008-03-20,81112,Hyundai Heavy Inds - Ulsan,OGHIAANOUS KHOROUSHAN SHIPPING,OGHIAANOUS KHOROUSHAN SHIPPING,9349667,25.79999924,,Abyan,40.09999847,2008,5400+ TEU,8.137773723
8566,2008-03-20,99043,Hyundai Samho Heavy Industries,KOREA SHIP FINANCE CO LTD,HYUNDAI MERCHANT MARINE CO LTD,9347566,27.5,130000000,Hyundai Force,45.59999847,2008,5400+ TEU,8.137773723
1118,2008-03-24,13760,Jinling Shipyard,CARSTEN REHDER SCHIFFSMAKLER,CARSTEN REHDER SCHIFFSMAKLER,9406843,19.60000038,,Devon Strait,23.25,2008,900 - 1199 TEU,8.126824818
1147,2008-03-25,12500,Sedef Tuzla,RICKMERS REEDEREI GMBH & CIE,TROPICAL SHIPPING CO LTD,9366495,19,,Asiatic Wind,22.70000076,2008,900 - 1199 TEU,8.124087591
2546,2008-03-25,34362,Jiangsu Yangzijiang Shbldg Co,SCHEPERS GMBH,MCC TRANSPORT SINGAPORE PTE,9383223,22,41000000,Anna-S,29.85000038,2008,2400 - 2699 TEU,8.124087591
2824,2008-03-25,39337,Hyundai Mipo Dockyard Co Ltd,TEO SHIPPING CORP,YANG MING MARINE TRANSPORT,9341122,23,43333000,Aldi Wave,30,2008,2700 - 2899 TEU,8.124087591
698,2008-03-27,8205,Fujian Mawei Shipbuilding Ltd,RUDOLF SCHOENING GMBH,WMS SHIPMANAGEMENT GMBH & CO,9339105,16.5,,Jrs Corvus,20.60000038,2008,0 - 899 TEU,8.118613139
1708,2008-03-30,21980,Imabari Shbldg - Imabari,SUGAHARA KISEN KK,KAWASAKI KISEN KAISHA LTD,9444998,19.70000076,,Saigon Bridge,27.60000038,2008,1600 - 1799 TEU,8.11040146
907,2008-03-31,12997,Shin Kochi,PACIFIC INTERNATIONAL LINES,PACIFIC INTERNATIONAL LINES,9359686,17.10000038,,Capitaine Cook,22.60000038,2008,900 - 1199 TEU,8.107664234
1036,2008-03-31,13172,SSW Schichau Seebeck Shipyard,SIBUM,ORIENT OVERSEAS CONTAINER LINE,9398773,18.5,24000000,Grete Sibum,23.39999962,2008,900 - 1199 TEU,8.107664234
1049,2008-03-31,12793,Dae Sun Shipbuilding & Eng,THODE GMBH & CO KG,MARIANA EXPRESS LINES LTD,9356804,18,,Hanse Endurance,22.60000038,2008,900 - 1199 TEU,8.107664234
3364,2008-03-31,41238,Hyundai Mipo Dockyard Co Ltd,MOLLER AP,MAERSK LINE A/S,9348168,22.79999924,54000000,Maersk Izmir,32.27000046,2008,2900 - 3999 TEU,8.107664234
6350,2008-03-31,72982,Koyo Dockyard Co Ltd,ZODIAC MARITIME LTD,ZODIAC MARITIME LTD,9332846,25,75000000,Brighton,40.10400009,2008,5400+ TEU,8.107664234
8560,2008-03-31,90634,Mitsubishi Nagasaki,MITSUI OSK LINES LTD,MITSUI OSK LINES LTD,9321263,25.25,,MOL Courage,45.59999847,2008,5400+ TEU,8.107664234
1794,2008-04-02,25927,Taizhou Kouan Shipbuilding Co,AHRENKIEL CF GMBH & CO KG,AHRENKIEL SHIPMANAGEMENT GMBH,9430935,20.5,,Sicilia,27.60000038,2008,1600 - 1799 TEU,8.102189781
5905,2008-04-02,80454,Daewoo Shipbuilding & Marine,RUDOLF A OETKER KG,HAMBURG SUDAMERIKANISCHE,9357951,23.29999924,96000000,Rio De La Plata,40,2008,5400+ TEU,8.102189781
847,2008-04-03,12568,Kyokuyo Shipyard Corp,SINOTRANS,SINOTRANS SHIP MANAGEMENT LTD,9367932,18,,Sinotrans Shenzhen,22.39999962,2008,0 - 899 TEU,8.099452555
2690,2008-04-03,37763,Nordseewerke,MARTIME GESELLSCHAFT,MARTIME GESELLSCHAFT,9374595,21,,Pandora,29.79999924,2008,2400 - 2699 TEU,8.099452555
10062,2008-04-03,111385,Nantong COSCO KHI Ship Eng,COSCO,COSCON,9334923,25.79999924,120000000,Cosco Oceania,45.72999954,2008,5400+ TEU,8.099452555
1577,2008-04-04,21458,Imabari Shbldg - Imabari,NISSHIN KISEN KK,NISSHIN KISEN KK,9445007,19.70000076,,Marine Bia,27.60000038,2008,1200 - 1599 TEU,8.096715328
4728,2008-04-04,63254,Hyundai Heavy Inds - Ulsan,HYUNDAI CORP,HYUNDAI MERCHANT MARINE CO LTD,9347578,25.20000076,78650000,Hyundai Dynasty,32.20000076,2008,4000 - 5399 TEU,8.096715328
1296,2008-04-08,18445,Zhejiang Ouhua Shipbuilding Co,AHRENKIEL STEAMSHIP GMBH & CO,AHRENKIEL STEAMSHIP GMBH & CO,9437115,19,30000000,AS Floriana,25,2008,1200 - 1599 TEU,8.085766423
6696,2008-04-08,84626,Hanjin HI & Const - Busan,MAERSK LINE LTD-USA,MAERSK LINE A/S,9333034,25,96200000,Maersk Detroit,40.00999832,2008,5400+ TEU,8.085766423
1030,2008-04-09,13471,Singapore Technologies Marine,TRANSWORLD GROUP,ORIENT EXPRESS LINES INC,9351804,19,,Oel Colombo,22.89999962,2008,900 - 1199 TEU,8.083029197
1060,2008-04-09,14978,Hakata,MEIHO KAIUN KK,SAMUDERA SHIPPING LINE LTD,9441740,19.29999924,,Sinar Banten,25,2008,900 - 1199 TEU,8.083029197
2015,2008-04-10,27209,Zhejiang Shbldg - Ningbo,O MARTEN REEDEREI GMBH & CO KG,O MARTEN REEDEREI GMBH & CO KG,9337030,20.79999924,42200000,O. M. Iridium,28.5,2008,1800 - 2399 TEU,8.080291971
4728,2008-04-10,64220,Hyundai Heavy Inds - Ulsan,HYUNDAI CORP,HYUNDAI MERCHANT MARINE CO LTD,9347580,25.20000076,78650000,Hyundai Voyager,32.20000076,2008,4000 - 5399 TEU,8.080291971
8528,2008-04-10,102453,Hudong-Zhonghua Shipbuilding,CHINA SHIPPING GROUP CO,CHINA SHIPPING CONTAINER LINES,9337925,25.35000038,93000000,Xin Mei Zhou,42.83599854,2008,5400+ TEU,8.080291971
1740,2008-04-11,23388,Guangzhou Wenchong Shipyard Co,LEONHARDT & BLUMBERG,LEONHARDT & BLUMBERG,9373474,19.5,37000000,Hansa Augsburg,27.39999962,2008,1600 - 1799 TEU,8.077554745
2478,2008-04-11,35292,Volkswerft Stralsund GmbH,MOLLER AP,SAFMARINE CONTAINER LINES,9356086,21.5,57509918,Safmarine Nyassa,29.87999916,2008,2400 - 2699 TEU,8.077554745
3586,2008-04-14,46309,STX Shipbuilding - Jinhae,NORD REEDEREI LTD,CMA CGM SA THE FRENCH LINE,9323039,20,45000000,Autumn E,32.20000076,2008,2900 - 3999 TEU,8.069343066
6921,2008-04-14,85517,Hyundai Heavy Inds - Ulsan,UNITED ARAB SHIPPING CO,UNITED ARAB SHIPPING CO,9349514,25,105675000,Al Bahia,40.04999924,2008,5400+ TEU,8.069343066
8749,2008-04-15,103538,Hyundai Heavy Inds - Ulsan,HAPAG-LLOYD AG,HAPAG-LLOYD AG,9343730,25.20000076,116000000,Kuala Lumpur Express,42.79999924,2008,5400+ TEU,8.066605839
3534,2008-04-16,41964,Shanghai Shipyard Co Ltd,NORDDEUTSCHE VERMOGEN HOLDING,CMA CGM SA THE FRENCH LINE,9345996,22.20000076,50000000,Northern Dexterity,32.20000076,2008,2900 - 3999 TEU,8.063868613
4252,2008-04-16,52773,CSBC Corp Taiwan - Kaohsiung,FIRST SHIP LEASE PTE LTD,YANG MING MARINE TRANSPORT,9353254,24.79999924,,Ym Eminence,32.29999924,2008,4000 - 5399 TEU,8.063868613
9034,2008-04-16,122110,Samsung Heavy Inds - Geoje,MOLLER AP,MAERSK LINE A/S,9342528,26,138300000,Maersk Algol,45.63000107,2008,5400+ TEU,8.063868613
4730,2008-04-17,55476,New Century Shipbuilding Co,HANSEATIC LLOYD AG,APL LTD,9332250,25,53000000,APL Oakland,32.20000076,2008,4000 - 5399 TEU,8.061131387
1706,2008-04-18,24095,Aker MTW Werft GmbH,KONIG & CIE GMBH & CO KG,CMA CGM SA THE FRENCH LINE,9357810,19.5,35941800,King Bruce,25.20000076,2008,1600 - 1799 TEU,8.058394161
2732,2008-04-18,38635,Gdansk Stocznia SA,PROJEX-SCHIFFAHRTS MBH & CO,PROJEX-SCHIFFAHRTS MBH & CO,9415296,21.60000038,,Penelope,32.29999924,2008,2700 - 2899 TEU,8.058394161
1118,2008-04-21,13684,Taizhou Kouan Shipbuilding Co,VEGA-REEDEREI FRIEDRICH DAUBER,VEGA-REEDEREI GMBH & CO KG,9403437,19.60000038,22000000,Vega Azurit,23.45000076,2008,900 - 1199 TEU,8.050182482
1819,2008-04-22,28142,Hyundai Mipo Dockyard Co Ltd,BOREALIS MARITIME LTD,HAMBURG SUDAMERIKANISCHE,9347293,21,39300000,San Alessio,27.60000038,2008,1800 - 2399 TEU,8.047445255
1440,2008-04-23,20351,Peene-Werft GmbH,SCHOELLER HOLDINGS LTD,HEUNG-A SHIPPING CO LTD,9379375,19.79999924,,Cape Felton,25,2008,1200 - 1599 TEU,8.044708029
4254,2008-04-23,50547,Zhejiang Shbldg - Ningbo,MSC MEDITERRANEAN SHIPPING CO,MSC MEDITERRANEAN SHIPPING CO,9351581,23.5,,MSC Kim,32.25,2008,4000 - 5399 TEU,8.044708029
698,2008-04-24,8248,Sainty Shipbuilding Yangzhou,BRIESE SCHIFFAHRTS GMBH & CO,TEAM LINES GMBH & CO KG,9440590,17.29999924,10000000,Ice Crystal,20.60000038,2008,0 - 899 TEU,8.041970803
4250,2008-04-24,50596,Dalian Shipbuilding Ind - No 1,CMA CGM HOLDING & CO SAS,ANL CONTAINER LINE PTY LTD,9334167,24.5,52370000,Anl Wangaratta,32.30599976,2008,4000 - 5399 TEU,8.041970803
4571,2008-04-24,63439,Hyundai Samho Heavy Industries,HYUNDAI CORP,HYUNDAI MERCHANT MARINE CO LTD,9347607,25.20000076,78650000,Hyundai Goodwill,32.20000076,2008,4000 - 5399 TEU,8.041970803
990,2008-04-25,11900,Zhejiang Ouhua Shipbuilding Co,PETER DOEHLE SCHIFFAHRTS-KG,PETER DOEHLE SCHIFFAHRTS-KG,9437220,19,,PAAVA,22.60000038,2008,900 - 1199 TEU,8.039233577
1080,2008-04-25,13750,Qingshan Shipyard,RICKMERS REEDEREI GMBH & CIE,ARCTIC SHIPPING GMBH,9395616,19.60000038,,Turnberry Kontor,23.45000076,2008,900 - 1199 TEU,8.039233577
4578,2008-04-25,50633,Samsung Heavy Inds - Geoje,ORIENT OVERSEAS INTERNATIONAL,ORIENT OVERSEAS CONTAINER LINE,9355769,24.5,70000000,Samsung 1638,32.25,2008,4000 - 5399 TEU,8.039233577
1049,2008-04-27,12780,Dae Sun Shipbuilding & Eng,JORG KOPPING REEDEREI,KOPPING REEDEREI GMBH & CO KG,9392913,18.10000038,24000000,Lantau Breeze,22.60000038,2008,900 - 1199 TEU,8.033759124
5762,2008-04-27,72900,Samsung Heavy Inds - Geoje,MSC MEDITERRANEAN SHIPPING CO,MSC MEDITERRANEAN SHIPPING CO,9372470,25,90000000,MSC Krystal,40,2008,5400+ TEU,8.033759124
5762,2008-04-28,72900,Samsung Heavy Inds - Geoje,MSC MEDITERRANEAN SHIPPING CO,MSC MEDITERRANEAN SHIPPING CO,9372482,24.79999924,90000000,MSC Oriane,40,2008,5400+ TEU,8.031021898
